,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
2022-11-08,5.264243386214285,1.0986122886681098,3.391147045808654,4.460144413937834,1.4586150226995167,4.485259889315534,2.0196067694470345,4.258445572902527,2.8496069719915424,4.272490747605575,2.856470206220483,2.624668592163159,5.980150787207709,4.863680881139593,3.4873750779032076,4.023564380161053,3.374168709274236,5.322522055244854,4.343805421853684,6.257859140416507,1.308332819650179,2.0541237336955462,1.0296194171811583,5.66953603592761,1.1631508098056809,4.715816706075155,,4.821893169499378,5.646506406836471,0.9932517730102833,5.659133722987319,5.165928178502291,,5.719327685991663,3.6109179126442243,4.90453376321371,8.242493153187626
2022-11-09,5.256974403013654,1.0986122886681098,3.3978584803966405,4.428433007488037,1.4816045409242156,4.486386649998124,2.0196067694470345,4.302712827954156,2.8496069719915424,4.249922794040544,2.797281334830153,2.6100697927420065,5.977619140285929,4.855150391255861,3.502549875922443,4.00369019395397,3.3568971227655755,5.339459309879212,4.359269647551265,6.265491308736761,1.308332819650179,2.0412203288596382,1.0296194171811583,5.680172609017068,1.1314021114911006,4.726502471155617,,4.839451481712757,5.649326288860142,0.9555114450274363,5.690021559406164,5.150397236471415,,5.731073334892105,3.6270040503958487,4.906755163608864,8.247691516123878
2022-11-10,5.244389024522481,1.0296194171811583,3.3945083935113587,4.460144413937834,1.4816045409242156,4.471638793363569,2.0196067694470345,4.308110951723713,2.8496069719915424,4.2710950739666,2.8622008809294686,2.617395832834079,5.995207533386816,4.8782461060505105,3.481240089335692,4.021773869387265,3.391147045808654,5.341376856008484,4.3694478524670215,6.262064039578487,1.33500106673234,2.0149030205422647,1.0296194171811583,5.68697535633982,1.1314021114911006,4.645351975620923,,4.832305758571839,5.670570340450087,0.9162907318741551,5.689345426858432,5.138148614395216,,5.733664849138071,3.632309102625542,4.9037921984782065,8.250228360553178
2022-11-11,5.230038525794742,1.0986122886681098,3.3568971227655755,4.457829598089382,1.4586150226995167,4.465908118654584,2.0196067694470345,4.328098292648326,2.8496069719915424,4.282206299391671,2.833213344056216,2.6100697927420065,5.996452088619021,4.870606649492553,3.5234150143864045,4.04305126783455,3.374168709274236,5.321545492667243,4.3476939555933765,6.255366090894359,1.33500106673234,1.9878743481543455,1.0296194171811583,5.7011122461003225,1.1631508098056809,4.593097604753822,,4.829912458665998,5.660178837174069,0.9555114450274363,5.613857767128214,5.134032172240181,,5.724891437866436,3.624340932976365,4.891851758106289,8.239197388553878
2022-11-12,5.165928178502291,1.0986122886681098,3.3843902633457743,4.407938016458383,1.4350845252893227,4.470495282661489,2.0196067694470345,4.189654742026425,2.8496069719915424,4.276666119016055,2.833213344056216,2.5649493574615367,5.99918467012312,4.832305758571839,3.3775875160230218,4.04305126783455,3.3603753871419,5.249127122357265,4.298645025734831,6.258816353086512,1.308332819650179,2.0412203288596382,1.0296194171811583,5.698099691520703,1.1939224684724346,4.645351975620923,,4.822697998516666,5.671259282950641,0.9555114450274363,5.5579856925446185,5.109575241951159,,5.700443573390687,3.6027767550605247,4.866764923676554,8.21951465371378
2022-11-13,5.182345190295616,1.1314021114911006,3.3032169733019514,4.380775852772229,1.3862943611198906,4.469350462845557,2.0196067694470345,4.128745988939433,2.8496069719915424,4.2626798770413155,2.8791984572980396,2.5257286443082556,5.950642552587727,4.709530201312334,3.414442608412176,4.000033882750859,3.407841924380824,5.13167228913909,4.222444564849416,6.231268539315299,1.308332819650179,2.0014800002101243,1.0296194171811583,5.686297160315181,1.1314021114911006,4.566429357671661,,4.738826570800765,5.659482215759621,0.8754687373538999,5.443715569237393,5.101694025043223,,5.660874973644924,3.529297384289471,4.75960653929251,8.174252076646432
2022-11-14,5.203457085524077,1.1939224684724346,3.292126286607793,4.384523514872469,1.4586150226995167,4.446174454497633,2.0196067694470345,4.222444564849416,2.8496069719915424,4.258445572902527,2.8507065015037334,2.5494451709255714,5.989713014069176,4.829912458665998,3.502549875922443,3.9684033388642534,3.349904087274605,5.288267030694535,4.308110951723713,6.267959273919186,1.308332819650179,2.0149030205422647,0.9162907318741551,5.6917098934219315,1.1314021114911006,4.574710978503383,,4.777441406928545,5.666772649022301,0.9932517730102833,5.561834812000519,5.1387352967235715,,5.675040005790547,3.597312260588446,4.791649752930709,8.214654639287774
2022-11-15,5.20839265902005,1.1939224684724346,3.3250360206965914,4.366912996863833,1.4816045409242156,4.460144413937834,2.0196067694470345,4.238444906195857,2.8496069719915424,4.259859000699674,2.9231615807191558,2.6461747973841225,5.9979435132056915,4.861361591348501,3.505557396986398,4.000033882750859,3.4111477125153233,5.349485653122436,4.33204826486764,6.285998094508865,1.33500106673234,2.0412203288596382,0.9162907318741551,5.705114919889979,1.1314021114911006,4.520701029361642,,4.802380355275797,5.6832395734248715,1.0296194171811583,5.606904399679714,5.14049328135447,,5.692721527296776,3.6216707044204863,4.816241156068032,8.233210932870946
2022-11-16,5.20839265902005,1.1939224684724346,3.339321977944068,4.373238128640803,1.4586150226995167,4.449685283147696,2.0196067694470345,4.222444564849416,2.8496069719915424,4.273884476054178,2.9231615807191558,2.6100697927420065,5.988209254387309,4.880526608749236,3.5322256440685598,4.019980146933238,3.32862668882732,5.359412465907847,4.3463994570307305,6.285066562070753,1.3609765531356006,2.0149030205422647,1.0647107369924282,5.712411801354255,1.1939224684724346,4.551769409260976,,4.8307108619020225,5.683579767338681,1.0296194171811583,5.642261618007951,5.134032172240181,,5.6957503029589365,3.632309102625542,4.829912458665998,8.238827585601806
2022-11-17,5.2225156531317545,1.1631508098056809,3.342861804649192,4.365643155423357,1.4586150226995167,4.415219602029645,2.0196067694470345,4.219507705176107,2.8496069719915424,4.255612709818223,2.91235066461494,2.6026896854443837,5.988209254387309,4.886582645426277,3.5234150143864045,4.014579593753238,3.3250360206965914,5.366443195595637,4.356708826689592,6.281705841954686,1.3609765531356006,2.0149030205422647,1.0647107369924282,5.72194977861165,1.1631508098056809,4.553876891600541,,4.832305758571839,5.704115752446321,1.0296194171811583,5.651084685655752,5.121580188047982,,5.6917098934219315,3.6216707044204863,4.826712455935327,8.240094912504102
2022-11-18,5.221436322212079,1.1631508098056809,3.3178157727231046,4.383275854074314,1.4586150226995167,4.462453883786496,2.0196067694470345,4.215086179918229,2.8496069719915424,4.258445572902527,2.917770732084279,2.580216829592325,5.997695096858618,4.88507207112091,3.5380565643793527,4.041295341132285,3.3105430133940246,5.37989735354046,4.345103280569283,6.260154913378162,1.3609765531356006,2.0149030205422647,1.0986122886681098,5.723911845951367,1.1631508098056809,4.530446639792155,,4.833102254034098,5.699439725222064,1.0296194171811583,5.682558838204574,5.1328529268205045,,5.702781974322617,3.6375861597263857,4.826712455935327,8.24317730972827
2022-11-19,5.220355825078324,1.1939224684724346,3.3105430133940246,4.380775852772229,1.4586150226995167,4.440295542797857,2.0196067694470345,4.151039905898646,2.8496069719915424,4.249922794040544,2.791165107812717,2.5257286443082556,5.979138897417345,4.873669439023098,3.529297384289471,4.034240638152395,3.3463891451671604,5.370172803648464,4.318820558770089,6.253059284796445,1.3609765531356006,2.0412203288596382,1.0647107369924282,5.725543966437714,1.1314021114911006,4.560172820057356,,4.859812404361672,5.699439725222064,0.9555114450274363,5.641907070938114,5.093750200806762,,5.707110264748875,3.6216707044204863,4.804021044733257,8.232519921308873
2022-11-20,5.203457085524077,1.1631508098056809,3.2386784521643803,4.3528552573736015,1.3862943611198906,4.4355674016019115,2.0196067694470345,4.120661870539474,2.8496069719915424,4.239886867512759,2.8791984572980396,2.4336133554004498,5.942536873484558,4.779963476361254,3.459466289786131,4.044804116661965,3.3463891451671604,5.298317366548036,4.22829253473184,6.2138077782514225,1.3609765531356006,2.0014800002101243,1.0296194171811583,5.720967299410302,1.1314021114911006,4.565389315976247,,4.794136285500715,5.676068636088686,0.832909122935104,5.5506312951620265,5.056882545261575,,5.690697235107546,3.597312260588446,4.724729421045731,8.193593743777656
2022-11-21,5.176714544788788,1.1631508098056809,3.295836866004329,4.360547602996758,1.4350845252893227,4.437934266612178,2.0196067694470345,4.174387269895637,2.8496069719915424,4.232656178019613,2.9069010598473755,2.4423470353692043,5.989462544437309,4.857484114602081,3.520460802488973,4.032469158504013,3.3357695763397,5.372960909543803,4.312140507209715,6.2373475853916815,1.33500106673234,2.0412203288596382,1.0296194171811583,5.720639591722624,1.1314021114911006,4.598145571051127,,4.832305758571839,5.703782474656201,0.9932517730102833,5.649326288860142,5.099256485749784,,5.71042701737487,3.6082115510464816,4.795790545596741,8.228710798793688
